aX,aY,aZ
-0.01,-0.00,0.97
-0.01,0.00,0.97
-0.01,-0.00,0.97
-0.00,-0.00,0.97
0.04,0.01,0.98
0.02,-0.02,0.97
-0.05,-0.01,0.96
-0.03,0.00,0.97
-0.02,0.02,0.98
0.03,-0.00,0.99
0.01,-0.02,0.97
0.00,-0.02,0.96
-0.03,0.00,0.96
-0.02,0.01,0.97
0.04,-0.00,0.98
0.02,-0.01,0.97
-0.00,-0.02,0.96
-0.05,0.00,0.96
-0.02,0.00,0.97
0.00,0.02,0.98
-0.01,0.00,0.97
-0.01,-0.01,0.97
-0.01,-0.00,0.97
-0.00,-0.00,0.97
0.00,0.00,0.97
-0.01,-0.00,0.97
-0.00,-0.00,0.97
-0.01,-0.00,0.97
-0.00,-0.00,0.97
-0.04,0.01,0.95
0.01,0.03,0.98
0.03,-0.01,0.98
-0.01,-0.02,0.96
-0.05,-0.03,0.95
-0.03,0.02,0.97
0.00,0.02,0.98
0.03,-0.01,0.97
0.01,-0.02,0.96
-0.02,-0.02,0.96
-0.03,0.00,0.97
-0.00,0.02,0.98
0.01,0.03,0.99
0.02,-0.01,0.97
-0.01,-0.03,0.96
-0.04,-0.00,0.96
-0.02,0.02,0.98
-0.01,0.00,0.97
-0.01,-0.00,0.97
-0.00,-0.01,0.97
-0.00,-0.00,0.97
-0.00,0.00,0.97
-0.00,-0.00,0.97
-0.00,-0.01,0.97
-0.01,-0.01,0.97
-0.00,0.01,0.97
0.05,0.00,1.00
0.04,-0.01,0.98
0.02,-0.02,0.97
-0.06,-0.01,0.95
-0.04,0.00,0.97
-0.02,0.01,0.97
0.05,0.00,0.98
0.03,-0.01,0.97
-0.00,-0.02,0.96
-0.05,-0.01,0.96
-0.03,0.01,0.97
0.04,0.01,0.99
0.03,-0.01,0.98
0.01,-0.02,0.96
-0.05,-0.01,0.96
-0.03,0.01,0.97
-0.02,-0.00,0.98
-0.01,0.00,0.96
-0.01,-0.00,0.97
0.00,-0.00,0.96
-0.00,-0.00,0.97
-0.01,-0.01,0.96
-0.00,0.00,0.97
-0.01,0.00,0.97
-0.01,-0.01,0.97
-0.01,-0.00,0.97
0.06,0.01,0.99
0.05,0.00,0.99
-0.05,-0.03,0.94
-0.06,-0.01,0.95
-0.05,-0.00,0.96
0.05,0.01,0.97
0.05,0.01,0.98
0.04,-0.01,0.97
-0.06,-0.02,0.95
-0.05,-0.01,0.96
-0.04,0.01,0.97
-0.00,0.02,0.98
0.04,-0.01,0.98
0.02,-0.02,0.96
-0.01,-0.02,0.96
-0.04,0.01,0.97
-0.01,-0.01,0.97
-0.00,0.00,0.98
-0.01,-0.00,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.97
-0.00,-0.01,0.97
0.00,-0.00,0.97
-0.01,-0.00,0.97
0.01,0.00,0.98
-0.03,-0.04,0.95
-0.04,-0.03,0.94
0.01,0.03,0.95
0.03,0.02,0.99
0.05,0.03,1.00
0.05,0.02,0.99
-0.04,-0.03,0.95
-0.06,-0.03,0.94
0.01,0.02,0.99
0.04,0.03,1.00
0.06,0.02,0.99
-0.03,-0.03,0.94
-0.05,-0.03,0.95
-0.07,-0.02,0.94
0.02,0.03,1.00
0.05,0.02,0.99
0.01,0.01,0.97
-0.00,-0.00,0.97
-0.01,-0.00,0.97
-0.00,-0.01,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.96
0.00,0.00,0.98
-0.01,0.00,0.96
-0.03,-0.00,0.97
0.05,0.01,1.00
-0.04,-0.03,0.95
-0.04,-0.03,0.94
0.01,0.02,0.99
0.04,0.03,0.99
0.05,0.02,1.00
-0.04,-0.04,0.95
-0.05,-0.03,0.94
-0.06,-0.02,0.94
0.04,0.03,0.99
0.05,0.02,1.00
0.05,0.02,0.99
-0.05,-0.03,0.95
-0.06,-0.03,0.95
-0.06,-0.02,0.95
0.04,0.02,0.99
0.01,0.00,0.97
0.00,-0.00,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.97
-0.01,-0.00,0.97
-0.01,-0.01,0.97
-0.00,-0.00,0.97
-0.00,0.00,0.97
0.00,0.02,0.99
0.03,-0.02,0.97
-0.00,-0.03,0.96
-0.05,0.00,0.96
-0.02,0.02,0.98
0.00,0.03,0.99
0.02,-0.01,0.97
0.00,-0.02,0.96
-0.01,-0.03,0.95
-0.02,0.01,0.97
-0.00,0.02,0.98
0.02,0.03,0.99
0.01,-0.02,0.97
-0.02,-0.03,0.95
-0.03,-0.03,0.95
-0.01,0.02,0.98
0.01,0.02,0.98
-0.01,-0.00,0.97
-0.01,-0.00,0.97
0.00,0.00,0.97
-0.00,-0.01,0.97
-0.00,-0.01,0.97
-0.01,-0.01,0.97
-0.00,0.00,0.97
0.00,0.00,0.97
0.01,-0.02,0.97
0.01,0.03,0.98
0.01,0.02,0.99
0.03,0.03,1.00
-0.02,-0.03,0.95
-0.03,-0.03,0.95
-0.05,-0.03,0.95
0.01,0.03,0.99
0.03,0.03,1.00
0.04,0.02,0.99
-0.03,-0.03,0.95
-0.05,-0.03,0.94
-0.06,-0.03,0.94
0.03,0.02,0.99
0.05,0.03,0.99
0.05,0.02,0.99
-0.05,-0.03,0.94
-0.01,0.00,0.97
-0.01,-0.00,0.97
-0.01,0.00,0.97
-0.00,0.00,0.97
-0.00,-0.01,0.97
-0.00,-0.01,0.97
0.00,-0.00,0.97
-0.01,-0.00,0.97
-0.01,-0.01,0.97
-0.02,0.02,0.99
0.02,0.03,1.00
0.02,-0.02,0.97
-0.01,-0.03,0.96
-0.04,-0.03,0.95
-0.02,0.02,0.98
0.01,0.02,0.99
0.04,0.03,1.00
-0.01,-0.02,0.96
-0.03,-0.03,0.95
-0.05,-0.03,0.95
-0.07,-0.03,0.95
0.03,0.03,0.99
0.04,0.03,1.00
0.06,0.02,1.00
-0.04,-0.04,0.94
-0.01,-0.01,0.98
-0.01,0.00,0.97
-0.00,-0.00,0.97
0.00,0.00,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.97
-0.01,-0.00,0.97
-0.00,0.00,0.97
-0.00,-0.00,0.97
0.05,0.02,1.00
-0.01,-0.03,0.95
-0.05,-0.03,0.95
-0.06,-0.03,0.94
0.02,0.02,0.99
0.04,0.03,1.00
0.05,0.03,0.99
-0.04,-0.03,0.95
-0.05,-0.03,0.94
0.01,0.02,0.99
0.04,0.03,1.00
0.05,0.02,1.00
-0.03,-0.03,0.95
-0.06,-0.03,0.95
-0.06,-0.02,0.94
0.03,-0.01,0.95
0.03,0.02,0.99
-0.00,0.00,0.97
-0.01,-0.01,0.97
-0.00,-0.00,0.97
-0.00,0.01,0.97
-0.01,-0.00,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.97
-0.00,0.00,0.97
-0.02,-0.02,0.97
0.03,0.04,0.96
0.05,0.03,1.00
0.05,0.02,0.99
-0.04,0.00,0.98
-0.06,-0.03,0.94
-0.07,-0.02,0.95
-0.06,-0.01,0.95
0.05,0.02,1.00
0.06,0.01,0.99
0.04,0.00,0.98
-0.06,-0.02,0.94
-0.06,-0.02,0.96
-0.04,0.00,0.97
0.06,0.01,0.98
0.05,0.00,0.98
-0.06,-0.03,0.95
0.00,-0.00,0.96
-0.01,-0.00,0.97
-0.01,0.00,0.97
-0.00,0.00,0.97
-0.01,-0.01,0.97
0.00,-0.00,0.97
-0.01,-0.00,0.97
-0.00,-0.00,0.98
-0.00,-0.00,0.97
0.03,0.01,1.00
0.04,0.03,1.00
-0.04,-0.03,0.95
-0.06,-0.02,0.94
-0.07,-0.03,0.95
0.04,0.03,0.99
0.05,0.03,0.99
-0.02,-0.04,0.98
-0.04,-0.04,0.95
-0.06,-0.02,0.94
0.02,-0.03,0.94
0.04,0.03,1.00
0.05,0.02,0.99
-0.04,-0.03,0.97
-0.06,-0.03,0.95
-0.07,-0.02,0.96
0.02,0.02,0.99
0.00,-0.00,0.98
-0.01,-0.00,0.94
0.00,-0.00,0.98
-0.01,0.00,0.96
-0.00,-0.00,0.94
-0.00,-0.00,0.96
-0.01,-0.00,0.98
-0.01,0.00,0.97
-0.05,-0.01,0.96
0.03,0.02,1.00
0.02,-0.02,0.96
-0.01,-0.03,0.95
-0.03,-0.03,0.95
-0.05,-0.03,0.94
0.01,0.02,0.98
0.03,0.03,1.00
0.05,0.03,0.99
-0.03,-0.03,0.95
-0.05,-0.03,0.95
-0.06,-0.02,0.94
-0.07,-0.02,0.95
0.05,0.03,1.00
0.05,0.02,1.00
0.05,0.01,0.99
-0.05,-0.03,0.94
-0.01,-0.01,0.97
-0.00,0.00,0.97
-0.01,-0.00,0.97
-0.00,0.00,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.97
-0.01,-0.00,0.97
0.04,-0.01,0.98
-0.02,0.02,0.97
0.00,0.02,0.98
0.02,0.03,0.99
0.01,0.01,1.00
-0.02,-0.03,0.96
-0.05,-0.03,0.94
-0.06,-0.02,0.95
0.02,0.04,0.99
0.05,0.02,0.99
0.05,0.01,1.00
-0.04,-0.03,0.95
-0.05,-0.02,0.94
0.01,0.02,0.99
0.03,0.02,1.00
0.05,0.03,1.00
-0.03,-0.03,0.95
-0.00,-0.01,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.97
-0.00,-0.01,0.97
-0.01,0.00,0.97
-0.01,0.00,0.97
-0.00,-0.01,0.99
-0.00,-0.00,0.97
-0.01,-0.01,0.97
-0.00,-0.00,0.98
0.03,0.05,0.97
0.01,-0.02,0.96
-0.02,-0.03,0.96
-0.03,0.01,0.96
-0.01,0.02,0.97
0.02,0.02,0.99
0.02,-0.02,0.97
-0.01,-0.03,0.95
-0.03,-0.03,0.96
-0.02,0.02,0.97
0.01,0.03,0.99
0.03,0.03,0.99
-0.00,-0.03,0.96
-0.03,-0.03,0.96
-0.04,-0.02,0.94
0.01,0.02,0.98
-0.00,-0.00,0.97
-0.01,0.01,0.97
-0.01,-0.00,0.97
-0.01,-0.01,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.97
0.00,0.00,0.97
-0.00,0.01,0.96
-0.00,0.01,0.97
-0.03,0.00,0.95
0.05,-0.01,0.99
0.04,-0.01,0.98
0.02,-0.01,0.96
-0.05,-0.01,0.96
-0.04,0.00,0.97
-0.00,0.03,0.98
0.02,0.03,0.99
0.02,-0.02,0.96
-0.01,-0.03,0.96
-0.04,0.00,0.97
-0.02,0.02,0.99
0.00,0.03,0.98
0.04,0.03,1.00
-0.00,-0.02,0.95
-0.03,-0.04,0.93
-0.01,-0.01,0.97
-0.01,-0.01,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.97
-0.01,-0.00,0.97
-0.00,-0.00,0.97
-0.01,-0.00,0.97
-0.01,-0.00,0.97
-0.00,0.01,0.97
0.01,-0.01,0.97
-0.05,-0.01,0.95
-0.04,0.00,0.96
-0.01,0.01,0.97
0.05,-0.00,0.99
0.02,-0.02,0.97
-0.06,-0.01,0.95
-0.06,0.01,0.97
-0.03,0.02,0.97
0.05,0.00,0.99
0.04,-0.01,0.97
0.02,-0.02,0.97
-0.04,-0.01,0.95
-0.03,0.01,0.97
-0.01,0.02,0.99
0.03,0.00,0.96
0.00,-0.01,0.97
-0.00,0.00,0.98
0.00,-0.01,0.97
-0.01,-0.01,0.97
-0.00,-0.00,0.98
-0.00,0.00,0.96
-0.00,-0.00,0.97
-0.01,-0.00,0.98
-0.00,0.00,0.97
0.10,0.02,1.00
-0.06,-0.02,0.95
-0.06,-0.01,0.95
0.05,0.02,0.99
0.06,0.01,1.00
0.04,0.01,0.99
-0.05,-0.01,0.93
-0.06,-0.02,0.94
-0.04,-0.01,0.96
0.05,0.02,0.99
0.06,0.01,0.99
0.04,-0.01,0.98
-0.06,-0.03,0.93
-0.06,-0.00,0.96
-0.04,0.01,0.97
0.06,0.01,0.99
0.04,-0.00,0.98
-0.00,-0.01,0.97
-0.00,0.00,0.97
-0.00,-0.01,0.97
0.00,-0.00,0.97
-0.01,0.00,0.96
-0.01,0.00,0.96
-0.01,-0.01,0.98
0.00,-0.00,0.99
0.00,-0.00,0.98
-0.08,-0.04,0.90
-0.06,-0.01,0.94
0.05,0.03,1.00
0.05,0.01,1.00
0.05,0.00,0.99
-0.07,-0.02,0.94
-0.07,-0.02,0.95
-0.05,-0.00,0.96
0.06,0.02,1.00
0.05,0.01,0.99
0.04,-0.01,0.98
-0.06,-0.02,0.94
-0.05,-0.01,0.95
-0.03,0.00,0.96
0.05,0.01,0.99
0.05,0.00,0.98
-0.01,-0.01,0.96
-0.01,-0.01,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.97
-0.01,-0.00,0.97
-0.00,-0.00,0.97
-0.01,-0.01,0.97
-0.00,-0.01,0.96
0.10,0.03,1.00
-0.05,0.00,0.94
-0.06,-0.01,0.95
-0.03,0.01,0.97
0.05,0.01,0.99
0.04,-0.01,0.98
0.01,-0.02,0.96
-0.06,-0.01,0.95
-0.03,0.01,0.96
0.05,0.01,0.99
0.04,-0.01,0.98
0.02,-0.01,0.97
-0.06,-0.00,0.95
-0.05,-0.00,0.97
-0.02,0.02,0.98
0.05,0.01,0.99
0.03,-0.02,0.98
-0.01,-0.00,0.97
-0.00,0.00,0.97
-0.00,-0.00,0.97
-0.00,-0.01,0.97
-0.01,-0.00,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.97
-0.01,-0.00,0.96
-0.01,-0.00,0.96
-0.05,-0.05,0.95
-0.05,-0.03,0.94
-0.07,-0.03,0.94
0.04,0.04,1.00
0.05,0.03,0.98
0.05,0.00,1.00
-0.06,-0.02,0.94
-0.06,-0.02,0.94
-0.06,-0.02,0.94
0.05,0.02,1.00
0.06,0.02,1.00
-0.05,-0.03,0.95
-0.07,-0.02,0.94
-0.07,-0.02,0.95
0.04,0.02,1.00
0.06,0.02,0.99
0.01,0.00,0.97
-0.00,0.01,0.97
-0.01,-0.01,0.97
-0.00,-0.01,0.97
-0.00,0.00,0.97
-0.00,-0.00,0.96
-0.00,-0.00,0.97
-0.01,-0.00,0.97
-0.00,-0.00,0.97
0.00,-0.00,0.97
0.05,0.00,0.99
0.04,-0.01,0.98
-0.06,-0.02,0.97
-0.04,-0.00,0.96
-0.03,0.01,0.96
0.05,0.01,0.99
0.04,-0.01,0.98
0.01,-0.03,0.97
-0.06,-0.00,0.95
-0.04,0.01,0.97
0.06,0.01,0.99
0.04,-0.00,0.99
0.02,-0.02,0.98
-0.05,-0.01,0.95
-0.04,0.00,0.96
-0.02,0.02,0.96
0.00,-0.00,0.98
-0.00,-0.01,0.96
-0.01,-0.00,0.97
-0.00,-0.00,0.98
0.00,-0.00,0.97
-0.01,-0.00,0.97
-0.01,-0.00,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.97
0.04,0.02,1.01
0.05,0.02,1.00
0.05,0.01,0.99
-0.05,-0.03,0.94
-0.07,-0.02,0.95
0.04,0.03,0.99
0.06,0.02,1.02
0.05,0.01,0.99
-0.06,-0.00,0.99
-0.07,-0.02,0.94
-0.05,-0.01,0.95
0.05,0.02,1.00
0.05,0.01,0.99
0.05,0.01,0.99
-0.06,-0.02,0.94
-0.07,-0.01,0.95
-0.02,-0.00,0.98
-0.01,-0.00,0.97
-0.01,-0.00,0.97
-0.00,-0.00,0.97
-0.00,0.00,0.97
0.00,0.01,0.98
0.00,-0.01,0.97
-0.01,-0.01,0.97
-0.00,0.01,0.98
-0.06,-0.01,0.92
0.06,0.00,0.99
0.04,0.01,0.99
0.03,-0.00,0.97
-0.06,-0.02,0.95
-0.05,-0.01,0.96
-0.04,0.01,0.97
0.05,0.01,0.99
0.04,-0.01,0.99
-0.06,-0.03,0.94
-0.05,-0.00,0.95
-0.03,0.01,0.96
0.05,0.02,1.00
0.05,-0.00,0.98
0.02,-0.02,0.97
-0.07,-0.01,0.96
-0.04,0.01,0.96
-0.01,-0.01,0.98
-0.01,-0.00,0.97
-0.00,0.00,0.97
0.00,-0.00,0.97
-0.01,-0.01,0.97
-0.00,-0.00,0.97
-0.01,-0.00,0.97
0.00,-0.00,0.97
-0.01,-0.00,0.97
-0.04,0.01,0.97
0.05,0.01,0.98
0.05,-0.01,0.98
-0.06,-0.02,0.98
-0.05,-0.00,0.94
-0.04,-0.00,0.95
0.04,0.01,0.99
0.05,0.00,0.99
0.04,-0.01,0.97
-0.06,-0.02,0.95
-0.06,-0.00,0.96
-0.04,0.01,0.97
0.05,0.01,0.99
0.04,-0.00,0.98
0.02,-0.02,0.97
-0.01,-0.03,0.96
-0.01,-0.01,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.95
-0.00,-0.00,0.97
-0.00,0.00,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.97
0.00,0.00,0.97
-0.02,-0.04,0.95
-0.04,-0.03,0.95
-0.02,0.02,0.97
0.01,0.02,0.99
0.04,0.03,0.99
-0.00,-0.03,0.96
-0.02,-0.03,0.95
-0.05,-0.04,0.94
0.00,0.03,0.99
0.02,0.02,0.99
0.00,0.03,1.00
-0.01,-0.01,0.96
-0.05,-0.04,0.95
-0.01,0.01,0.98
0.02,0.03,1.00
0.05,0.03,0.99
-0.01,-0.03,0.96
-0.01,-0.00,0.97
-0.01,-0.00,0.97
-0.00,-0.01,0.97
-0.00,-0.00,0.97
-0.01,0.00,0.97
-0.01,-0.01,0.97
-0.00,-0.01,0.97
-0.00,-0.01,0.96
0.04,0.04,0.98
0.02,-0.01,0.96
-0.02,-0.03,0.94
-0.06,-0.03,0.95
-0.00,0.03,0.98
0.03,0.03,0.99
0.05,0.02,1.00
-0.01,-0.03,0.95
-0.04,-0.04,0.94
-0.05,-0.03,0.94
0.01,0.03,0.99
0.03,0.03,1.00
0.05,0.02,0.99
-0.03,-0.03,0.95
-0.06,-0.03,0.94
0.01,0.03,0.98
0.04,0.04,0.99
-0.01,-0.01,0.97
-0.01,-0.00,0.97
-0.01,-0.00,0.97
0.00,-0.00,0.97
0.00,0.00,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.97
-0.01,-0.00,0.97
-0.00,-0.00,0.97
0.04,0.01,1.00
0.05,0.01,0.99
0.04,-0.01,0.98
-0.06,-0.03,0.94
-0.05,-0.00,0.95
-0.03,0.01,0.96
0.05,0.01,0.99
0.04,-0.00,0.98
0.02,-0.01,0.97
-0.06,-0.01,0.95
-0.05,0.00,0.96
0.06,0.02,1.00
0.05,0.01,0.99
0.03,-0.01,0.98
-0.06,-0.02,0.94
-0.05,-0.01,0.95
-0.01,0.00,0.97
0.00,0.00,0.99
-0.00,-0.01,0.96
-0.01,-0.00,0.96
-0.00,-0.00,0.98
-0.00,-0.00,0.97
-0.00,-0.00,0.97
-0.01,-0.01,0.97
-0.00,-0.00,0.97
-0.06,-0.01,0.95
0.01,0.02,0.98
0.02,0.02,0.99
0.01,-0.03,0.97
-0.01,-0.03,0.96
-0.03,-0.03,0.94
-0.01,0.02,0.97
0.01,0.03,0.99
0.03,0.03,1.00
-0.01,-0.03,0.97
-0.04,-0.03,0.95
-0.02,0.02,0.98
0.02,0.03,0.97
0.03,0.02,0.99
-0.00,-0.03,0.96
-0.03,-0.03,0.95
-0.04,-0.03,0.95
-0.01,-0.00,0.97
0.00,0.00,0.97
-0.01,-0.00,0.97
-0.00,0.00,0.97
-0.01,-0.00,0.97
-0.01,-0.00,0.97
-0.00,-0.00,0.97
-0.01,0.00,0.97
0.00,0.00,0.97
-0.00,0.01,0.99
0.04,0.03,1.00
0.06,0.03,0.99
-0.03,-0.04,0.95
-0.05,-0.03,0.93
-0.06,-0.02,0.94
0.03,0.03,0.99
0.04,0.02,1.00
-0.03,-0.03,0.99
-0.05,-0.03,0.95
-0.07,-0.02,0.94
0.03,0.03,0.99
0.04,0.02,0.99
0.06,0.03,0.99
-0.03,-0.04,0.95
-0.05,-0.03,0.95
-0.00,-0.01,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.97
0.00,-0.00,0.97
-0.01,-0.00,0.97
-0.00,-0.00,0.97
-0.05,-0.02,0.96
-0.05,-0.01,0.95
-0.04,0.01,0.97
0.05,0.02,1.00
0.05,0.00,0.97
0.01,-0.03,0.97
-0.06,-0.01,0.96
-0.04,0.02,0.97
0.06,0.01,1.00
0.04,-0.00,0.99
0.02,-0.01,0.98
-0.05,-0.02,0.95
-0.04,-0.00,0.96
-0.02,0.02,0.97
0.01,0.02,0.98
0.03,-0.02,0.97
0.00,-0.02,0.96
-0.00,-0.00,0.97
-0.00,-0.00,0.96
0.00,-0.00,0.98
-0.01,-0.00,0.95
-0.01,-0.01,0.97
-0.01,-0.01,0.97
-0.01,0.00,0.97
-0.00,-0.00,0.97
0.00,0.00,0.97
-0.07,-0.03,0.95
-0.06,-0.02,0.94
-0.06,-0.02,0.95
0.05,0.03,0.99
0.05,0.02,0.99
0.04,0.01,0.99
-0.07,-0.02,0.94
-0.07,-0.02,0.94
-0.06,-0.00,0.95
0.06,0.03,1.00
0.05,0.01,0.99
0.04,0.00,1.00
-0.05,-0.02,0.94
-0.06,-0.02,0.95
-0.04,0.01,0.96
0.06,0.03,0.98
-0.00,-0.01,0.98
-0.00,0.00,0.97
-0.00,0.00,0.97
-0.00,-0.00,0.97
-0.00,-0.00,0.97
-0.01,-0.01,0.97
